,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artist,title
0,0.647,0.397,7,-13.234,1,0.0816,0.718,0.0648,0.0974,0.179,179.868,audio_features,2RcrkBWCOWaX67jVDLgJr6,spotify:track:2RcrkBWCOWaX67jVDLgJr6,https://api.spotify.com/v1/tracks/2RcrkBWCOWaX67jVDLgJr6,https://api.spotify.com/v1/audio-analysis/2RcrkBWCOWaX67jVDLgJr6,263689,4,Various Artists,Folha de Jurema
1,0.5,0.523,5,-7.845,1,0.0574,0.272,0.000175,0.248,0.413,190.958,audio_features,3GmYxpXRc62mj4SuJ4WEsl,spotify:track:3GmYxpXRc62mj4SuJ4WEsl,https://api.spotify.com/v1/tracks/3GmYxpXRc62mj4SuJ4WEsl,https://api.spotify.com/v1/audio-analysis/3GmYxpXRc62mj4SuJ4WEsl,226973,3,Kendra Morris,Banshee
2,0.749,0.477,4,-6.06,0,0.198,0.153,1.08e-05,0.823,0.882,95.968,audio_features,1pur8kv69XmZqA3uoMEYnH,spotify:track:1pur8kv69XmZqA3uoMEYnH,https://api.spotify.com/v1/tracks/1pur8kv69XmZqA3uoMEYnH,https://api.spotify.com/v1/audio-analysis/1pur8kv69XmZqA3uoMEYnH,133893,4,La Fine Equipe,Tourment d' amour
3,0.739,0.283,9,-8.996,0,0.0597,0.307,1.36e-05,0.25,0.431,127.97,audio_features,6g6LjgaH5I23KOkLkJeGxE,spotify:track:6g6LjgaH5I23KOkLkJeGxE,https://api.spotify.com/v1/tracks/6g6LjgaH5I23KOkLkJeGxE,https://api.spotify.com/v1/audio-analysis/6g6LjgaH5I23KOkLkJeGxE,265520,3,Allen Stone,Million
4,0.509,0.288,5,-11.317,0,0.0424,0.671,0.000607,0.157,0.375,143.897,audio_features,3fVoaJNF8ALQlL0MG5XpWa,spotify:track:3fVoaJNF8ALQlL0MG5XpWa,https://api.spotify.com/v1/tracks/3fVoaJNF8ALQlL0MG5XpWa,https://api.spotify.com/v1/audio-analysis/3fVoaJNF8ALQlL0MG5XpWa,275827,3,Jordan Rakei,Alright
5,0.57,0.225,5,-17.168,0,0.029,0.306,0.0586,0.0689,0.408,151.78,audio_features,3c6wivu78aLN7ZXp8UbpaI,spotify:track:3c6wivu78aLN7ZXp8UbpaI,https://api.spotify.com/v1/tracks/3c6wivu78aLN7ZXp8UbpaI,https://api.spotify.com/v1/audio-analysis/3c6wivu78aLN7ZXp8UbpaI,429973,3,Ali Farka Touré,Ai Du (with Ry Cooder)
6,0.568,0.0533,8,-16.128,1,0.0408,0.948,0.0023,0.101,0.212,115.067,audio_features,51zSqXbTSFJMPlrNNDhbEt,spotify:track:51zSqXbTSFJMPlrNNDhbEt,https://api.spotify.com/v1/tracks/51zSqXbTSFJMPlrNNDhbEt,https://api.spotify.com/v1/audio-analysis/51zSqXbTSFJMPlrNNDhbEt,270467,4,Various Artists,Little Girl Blue
7,0.801,0.599,5,-6.071,0,0.0473,0.324,0.0,0.237,0.589,123.715,audio_features,7A4KdLy1DXOOC5fhIdDuHz,spotify:track:7A4KdLy1DXOOC5fhIdDuHz,https://api.spotify.com/v1/tracks/7A4KdLy1DXOOC5fhIdDuHz,https://api.spotify.com/v1/audio-analysis/7A4KdLy1DXOOC5fhIdDuHz,216000,4,Peter Fox,Haus am See
8,0.631,0.726,5,-6.079,1,0.0296,0.16,9.6e-05,0.11,0.623,87.067,audio_features,2aWr9QRr0pSmYFH04zngiP,spotify:track:2aWr9QRr0pSmYFH04zngiP,https://api.spotify.com/v1/tracks/2aWr9QRr0pSmYFH04zngiP,https://api.spotify.com/v1/audio-analysis/2aWr9QRr0pSmYFH04zngiP,222371,4,Charles Bradley,Strictly Reserved for You
9,0.766,0.508,1,-8.767,0,0.0737,0.707,0.065,0.107,0.527,146.955,audio_features,7cnt5XipD83fUsvnhQBtwA,spotify:track:7cnt5XipD83fUsvnhQBtwA,https://api.spotify.com/v1/tracks/7cnt5XipD83fUsvnhQBtwA,https://api.spotify.com/v1/audio-analysis/7cnt5XipD83fUsvnhQBtwA,235520,4,Son Little,Cross My Heart
10,0.564,0.32,9,-11.473,0,0.0306,0.706,0.0,0.123,0.266,85.891,audio_features,5yGVHzJ2Se8pDzR7FIYUlU,spotify:track:5yGVHzJ2Se8pDzR7FIYUlU,https://api.spotify.com/v1/tracks/5yGVHzJ2Se8pDzR7FIYUlU,https://api.spotify.com/v1/audio-analysis/5yGVHzJ2Se8pDzR7FIYUlU,209920,4,Michael Kiwanuka,Home Again
11,0.634,0.675,7,-7.351,0,0.0926,0.099,0.000314,0.362,0.633,82.183,audio_features,3IM7zXywZ6sRTtkRjRLxJ8,spotify:track:3IM7zXywZ6sRTtkRjRLxJ8,https://api.spotify.com/v1/tracks/3IM7zXywZ6sRTtkRjRLxJ8,https://api.spotify.com/v1/audio-analysis/3IM7zXywZ6sRTtkRjRLxJ8,219866,4,Orelsan,La terre est ronde
12,0.447,0.416,0,-5.571,1,0.0608,0.01,0.122,0.0778,0.103,140.855,audio_features,3t6gmz9lT8L9cSqWahpo1r,spotify:track:3t6gmz9lT8L9cSqWahpo1r,https://api.spotify.com/v1/tracks/3t6gmz9lT8L9cSqWahpo1r,https://api.spotify.com/v1/audio-analysis/3t6gmz9lT8L9cSqWahpo1r,191425,3,Silk Rhodes,Pains
13,0.736,0.456,11,-7.329,0,0.0467,0.247,1.25e-05,0.113,0.585,94.076,audio_features,3rCJPCJTJRUxvCduWDVprx,spotify:track:3rCJPCJTJRUxvCduWDVprx,https://api.spotify.com/v1/tracks/3rCJPCJTJRUxvCduWDVprx,https://api.spotify.com/v1/audio-analysis/3rCJPCJTJRUxvCduWDVprx,386373,4,Rokia Traoré,Ka moun kè
14,0.721,0.497,1,-10.209,0,0.0306,0.544,0.0759,0.0865,0.508,99.984,audio_features,4BtEGOZ0QwfT2HOY3Ly3Sc,spotify:track:4BtEGOZ0QwfT2HOY3Ly3Sc,https://api.spotify.com/v1/tracks/4BtEGOZ0QwfT2HOY3Ly3Sc,https://api.spotify.com/v1/audio-analysis/4BtEGOZ0QwfT2HOY3Ly3Sc,213720,3,Ásgeir,Leyndarmál
15,0.772,0.371,5,-5.743,0,0.0348,0.744,0.0,0.167,0.684,96.574,audio_features,6nLvaCZFR1wEzW3sIKpsnr,spotify:track:6nLvaCZFR1wEzW3sIKpsnr,https://api.spotify.com/v1/tracks/6nLvaCZFR1wEzW3sIKpsnr,https://api.spotify.com/v1/audio-analysis/6nLvaCZFR1wEzW3sIKpsnr,233733,4,Amy Winehouse,"Valerie - Live At BBC Radio 1 Live Lounge, London / 2007"
16,0.677,0.485,5,-5.795,1,0.0361,0.529,2.04e-05,0.0766,0.493,82.001,audio_features,7795WJLVKJoAyVoOtCWqXN,spotify:track:7795WJLVKJoAyVoOtCWqXN,https://api.spotify.com/v1/tracks/7795WJLVKJoAyVoOtCWqXN,https://api.spotify.com/v1/audio-analysis/7795WJLVKJoAyVoOtCWqXN,239317,4,Sam Smith,I'm Not The Only One
17,0.618,0.919,10,-3.291,0,0.158,0.24,0.0886,0.109,0.563,100.31,audio_features,7JF65QwbU9rtZrLYLLnNE7,spotify:track:7JF65QwbU9rtZrLYLLnNE7,https://api.spotify.com/v1/tracks/7JF65QwbU9rtZrLYLLnNE7,https://api.spotify.com/v1/audio-analysis/7JF65QwbU9rtZrLYLLnNE7,232547,4,Alabama Shakes,Don't Wanna Fight
18,0.394,0.151,3,-16.748,1,0.0359,0.976,0.739,0.0664,0.31,178.051,audio_features,3jQyadhLTxpxadQlkFh2b8,spotify:track:3jQyadhLTxpxadQlkFh2b8,https://api.spotify.com/v1/tracks/3jQyadhLTxpxadQlkFh2b8,https://api.spotify.com/v1/audio-analysis/3jQyadhLTxpxadQlkFh2b8,160240,4,José González,Heartbeats
19,0.656,0.731,2,-5.315,1,0.0876,0.451,2.26e-06,0.0811,0.649,144.005,audio_features,4mityPmJpqtHea3y9qZLg6,spotify:track:4mityPmJpqtHea3y9qZLg6,https://api.spotify.com/v1/tracks/4mityPmJpqtHea3y9qZLg6,https://api.spotify.com/v1/audio-analysis/4mityPmJpqtHea3y9qZLg6,220587,3,Lianne La Havas,What You Don't Do
20,0.399,0.326,7,-9.239,0,0.0386,0.864,0.0,0.191,0.546,79.206,audio_features,6Rqn2GFlmvmV4w9Ala0I1e,spotify:track:6Rqn2GFlmvmV4w9Ala0I1e,https://api.spotify.com/v1/tracks/6Rqn2GFlmvmV4w9Ala0I1e,https://api.spotify.com/v1/audio-analysis/6Rqn2GFlmvmV4w9Ala0I1e,174000,4,Nina Simone,Feeling Good
21,0.851,0.465,5,-15.621,0,0.0691,0.013,0.244,0.106,0.862,129.058,audio_features,1V3aaP9D7h6uwf5RfRDmln,spotify:track:1V3aaP9D7h6uwf5RfRDmln,https://api.spotify.com/v1/tracks/1V3aaP9D7h6uwf5RfRDmln,https://api.spotify.com/v1/audio-analysis/1V3aaP9D7h6uwf5RfRDmln,221880,4,Serge Gainsbourg,Lola rastaquouère
22,0.654,0.292,2,-12.977,1,0.474,0.095,0.00309,0.106,0.102,153.547,audio_features,0NbYHoDDqCgDmDFOzfLzAK,spotify:track:0NbYHoDDqCgDmDFOzfLzAK,https://api.spotify.com/v1/tracks/0NbYHoDDqCgDmDFOzfLzAK,https://api.spotify.com/v1/audio-analysis/0NbYHoDDqCgDmDFOzfLzAK,252095,4,Ibeyi,River
23,0.51,0.434,1,-10.004,1,0.0361,0.177,0.516,0.0603,0.207,119.695,audio_features,3Ty7OTBNSigGEpeW2PqcsC,spotify:track:3Ty7OTBNSigGEpeW2PqcsC,https://api.spotify.com/v1/tracks/3Ty7OTBNSigGEpeW2PqcsC,https://api.spotify.com/v1/audio-analysis/3Ty7OTBNSigGEpeW2PqcsC,308627,4,Portishead,Glory Box
24,0.657,0.54,9,-9.875,1,0.0232,0.415,1.74e-06,0.0809,0.673,94.258,audio_features,2QIvd2Uow99gv5kBBbtf3y,spotify:track:2QIvd2Uow99gv5kBBbtf3y,https://api.spotify.com/v1/tracks/2QIvd2Uow99gv5kBBbtf3y,https://api.spotify.com/v1/audio-analysis/2QIvd2Uow99gv5kBBbtf3y,206517,4,Michael Kiwanuka,I'll Get Along
25,0.418,0.42,0,-6.444,1,0.0414,0.588,6.39e-05,0.11,0.184,84.094,audio_features,5Nm9ERjJZ5oyfXZTECKmRt,spotify:track:5Nm9ERjJZ5oyfXZTECKmRt,https://api.spotify.com/v1/tracks/5Nm9ERjJZ5oyfXZTECKmRt,https://api.spotify.com/v1/audio-analysis/5Nm9ERjJZ5oyfXZTECKmRt,172724,4,Sam Smith,Stay With Me
26,0.407,0.558,0,-13.609,1,0.0552,0.0541,1.51e-06,0.34,0.777,71.815,audio_features,3N4DI1vuTSX1tz7fa2NQZw,spotify:track:3N4DI1vuTSX1tz7fa2NQZw,https://api.spotify.com/v1/tracks/3N4DI1vuTSX1tz7fa2NQZw,https://api.spotify.com/v1/audio-analysis/3N4DI1vuTSX1tz7fa2NQZw,214947,4,Amy Winehouse,Rehab
27,0.446,0.856,4,-7.748,0,0.06,0.594,0.000226,0.978,0.523,154.75,audio_features,6kiS8bpvLdSxiSh5NS05ri,spotify:track:6kiS8bpvLdSxiSh5NS05ri,https://api.spotify.com/v1/tracks/6kiS8bpvLdSxiSh5NS05ri,https://api.spotify.com/v1/audio-analysis/6kiS8bpvLdSxiSh5NS05ri,285507,4,Buena Vista Social Club,Chan Chan - Live
28,0.399,0.258,5,-16.028,1,0.033,0.792,1.86e-06,0.128,0.192,108.174,audio_features,1qCQTy0fTXerET4x8VHyr9,spotify:track:1qCQTy0fTXerET4x8VHyr9,https://api.spotify.com/v1/tracks/1qCQTy0fTXerET4x8VHyr9,https://api.spotify.com/v1/audio-analysis/1qCQTy0fTXerET4x8VHyr9,137520,3,Louis Armstrong,What A Wonderful World
29,0.439,0.0239,7,-23.727,0,0.0588,0.99,0.947,0.116,0.206,147.275,audio_features,5yT1lJaEflLUajJ111Xk50,spotify:track:5yT1lJaEflLUajJ111Xk50,https://api.spotify.com/v1/tracks/5yT1lJaEflLUajJ111Xk50,https://api.spotify.com/v1/audio-analysis/5yT1lJaEflLUajJ111Xk50,122547,4,Chilly Gonzales,Gogol
30,0.76,0.581,5,-5.133,1,0.0279,0.518,0.395,0.476,0.802,89.828,audio_features,5BNwnVkbpvgDlKNWMPql4O,spotify:track:5BNwnVkbpvgDlKNWMPql4O,https://api.spotify.com/v1/tracks/5BNwnVkbpvgDlKNWMPql4O,https://api.spotify.com/v1/audio-analysis/5BNwnVkbpvgDlKNWMPql4O,163920,4,La Fine Equipe,Tarte au citron
31,0.684,0.144,11,-17.419,0,0.0708,0.534,0.0249,0.241,0.573,119.659,audio_features,7gHRVNiuL66Z6fE6DwZaFT,spotify:track:7gHRVNiuL66Z6fE6DwZaFT,https://api.spotify.com/v1/tracks/7gHRVNiuL66Z6fE6DwZaFT,https://api.spotify.com/v1/audio-analysis/7gHRVNiuL66Z6fE6DwZaFT,168000,4,Henri Salvador,Jardin d'hiver
32,0.931,0.393,0,-14.579,1,0.049,0.013,0.00991,0.0908,0.944,136.226,audio_features,6Z1487JY6p3cVxs5JVXkMZ,spotify:track:6Z1487JY6p3cVxs5JVXkMZ,https://api.spotify.com/v1/tracks/6Z1487JY6p3cVxs5JVXkMZ,https://api.spotify.com/v1/audio-analysis/6Z1487JY6p3cVxs5JVXkMZ,187160,4,Serge Gainsbourg,Aux armes et caetera
33,0.552,0.352,10,-9.986,1,0.0369,0.931,5.54e-05,0.251,0.581,71.064,audio_features,4GnCQfhL41HMe2pgx4bK9T,spotify:track:4GnCQfhL41HMe2pgx4bK9T,https://api.spotify.com/v1/tracks/4GnCQfhL41HMe2pgx4bK9T,https://api.spotify.com/v1/audio-analysis/4GnCQfhL41HMe2pgx4bK9T,180333,4,B.B. King,Three O'Clock Blues
34,0.424,0.538,2,-17.016,1,0.0966,0.707,0.00644,0.0774,0.5,172.936,audio_features,7L5FEYVfpIEGHJOv6gZ6EW,spotify:track:7L5FEYVfpIEGHJOv6gZ6EW,https://api.spotify.com/v1/tracks/7L5FEYVfpIEGHJOv6gZ6EW,https://api.spotify.com/v1/audio-analysis/7L5FEYVfpIEGHJOv6gZ6EW,324920,3,Ali Farka Touré,Bonde (with Ry Cooder)
35,0.779,0.215,0,-14.439,0,0.118,0.597,0.00105,0.137,0.145,119.782,audio_features,4Qz9aaejJRWJPPWCyrnoIx,spotify:track:4Qz9aaejJRWJPPWCyrnoIx,https://api.spotify.com/v1/tracks/4Qz9aaejJRWJPPWCyrnoIx,https://api.spotify.com/v1/audio-analysis/4Qz9aaejJRWJPPWCyrnoIx,249400,4,Ibeyi,Mama Says
36,0.583,0.486,4,-13.165,1,0.0759,0.518,0.0,0.0665,0.513,87.837,audio_features,0RfzQhbvtn5lOaKdhpAni7,spotify:track:0RfzQhbvtn5lOaKdhpAni7,https://api.spotify.com/v1/tracks/0RfzQhbvtn5lOaKdhpAni7,https://api.spotify.com/v1/audio-analysis/0RfzQhbvtn5lOaKdhpAni7,153173,4,Amy Winehouse,Me & Mr Jones
37,0.356,0.212,5,-19.818,1,0.0429,0.9,0.0987,0.287,0.247,100.297,audio_features,7gyV3wYtZoJIrSdzNLjYvj,spotify:track:7gyV3wYtZoJIrSdzNLjYvj,https://api.spotify.com/v1/tracks/7gyV3wYtZoJIrSdzNLjYvj,https://api.spotify.com/v1/audio-analysis/7gyV3wYtZoJIrSdzNLjYvj,278467,4,Beth Gibbons,Mysteries
38,0.556,0.61,9,-4.729,1,0.213,0.833,2.22e-06,0.258,0.665,199.373,audio_features,2xar08Fq5xra2KKZs5Bw9j,spotify:track:2xar08Fq5xra2KKZs5Bw9j,https://api.spotify.com/v1/tracks/2xar08Fq5xra2KKZs5Bw9j,https://api.spotify.com/v1/audio-analysis/2xar08Fq5xra2KKZs5Bw9j,171467,4,Ray Charles,I've Got a Woman
39,0.459,0.774,6,-4.326,0,0.0438,0.116,0.246,0.0957,0.523,76.761,audio_features,0Iz72FGhG44jBHV1KhteYs,spotify:track:0Iz72FGhG44jBHV1KhteYs,https://api.spotify.com/v1/tracks/0Iz72FGhG44jBHV1KhteYs,https://api.spotify.com/v1/audio-analysis/0Iz72FGhG44jBHV1KhteYs,201613,4,Alabama Shakes,Future People
40,0.631,0.271,5,-17.737,1,0.0382,0.428,0.0141,0.0766,0.785,151.266,audio_features,6ZMrpXuvDO8T13QVrshXlL,spotify:track:6ZMrpXuvDO8T13QVrshXlL,https://api.spotify.com/v1/tracks/6ZMrpXuvDO8T13QVrshXlL,https://api.spotify.com/v1/audio-analysis/6ZMrpXuvDO8T13QVrshXlL,162200,4,Antônio Carlos Jobim,The Girl From Ipanema
41,0.46,0.252,8,-15.679,0,0.0401,0.664,0.469,0.111,0.186,89.846,audio_features,0RNeoLHsIRtphvrykkxMNm,spotify:track:0RNeoLHsIRtphvrykkxMNm,https://api.spotify.com/v1/tracks/0RNeoLHsIRtphvrykkxMNm,https://api.spotify.com/v1/audio-analysis/0RNeoLHsIRtphvrykkxMNm,292053,3,Ásgeir,Heimförin
42,0.628,0.252,6,-18.925,1,0.0267,0.421,0.0,0.0315,0.52,85.065,audio_features,25u53mEJMoUkHcBWYavOVT,spotify:track:25u53mEJMoUkHcBWYavOVT,https://api.spotify.com/v1/tracks/25u53mEJMoUkHcBWYavOVT,https://api.spotify.com/v1/audio-analysis/25u53mEJMoUkHcBWYavOVT,291000,4,Johnny Clegg,Asimbonanga (Mandela)
43,0.583,0.441,4,-10.318,1,0.0325,0.868,0.557,0.117,0.343,135.019,audio_features,2OxZPn72KnUzSM7jcKJDaC,spotify:track:2OxZPn72KnUzSM7jcKJDaC,https://api.spotify.com/v1/tracks/2OxZPn72KnUzSM7jcKJDaC,https://api.spotify.com/v1/audio-analysis/2OxZPn72KnUzSM7jcKJDaC,333787,3,The National,Runaway
44,0.524,0.686,7,-8.14,1,0.0814,0.105,0.221,0.255,0.681,74.959,audio_features,0DZy2mhrD0OAU4x39TbMhT,spotify:track:0DZy2mhrD0OAU4x39TbMhT,https://api.spotify.com/v1/tracks/0DZy2mhrD0OAU4x39TbMhT,https://api.spotify.com/v1/audio-analysis/0DZy2mhrD0OAU4x39TbMhT,276627,4,St. Vincent,Prince Johnny
45,0.413,0.295,11,-15.077,0,0.0362,0.264,0.000248,0.0851,0.291,126.195,audio_features,1J56UTQmZTT02zOxFjuOlY,spotify:track:1J56UTQmZTT02zOxFjuOlY,https://api.spotify.com/v1/tracks/1J56UTQmZTT02zOxFjuOlY,https://api.spotify.com/v1/audio-analysis/1J56UTQmZTT02zOxFjuOlY,285560,4,Barbra Streisand,New York State of Mind
46,0.42,0.398,6,-9.13,0,0.0296,0.755,0.000537,0.172,0.364,88.897,audio_features,0sjxRg1VlYfx4YG7uxurrq,spotify:track:0sjxRg1VlYfx4YG7uxurrq,https://api.spotify.com/v1/tracks/0sjxRg1VlYfx4YG7uxurrq,https://api.spotify.com/v1/audio-analysis/0sjxRg1VlYfx4YG7uxurrq,155027,3,Nina Simone,I Put A Spell On You
47,0.578,0.364,2,-15.162,1,0.0441,0.683,0.0539,0.105,0.723,78.073,audio_features,5je0CDv1Z1hT82Nek1Fjhl,spotify:track:5je0CDv1Z1hT82Nek1Fjhl,https://api.spotify.com/v1/tracks/5je0CDv1Z1hT82Nek1Fjhl,https://api.spotify.com/v1/audio-analysis/5je0CDv1Z1hT82Nek1Fjhl,216227,4,Stan Getz,Só Danço Samba
48,0.449,0.57,0,-14.704,1,0.454,0.112,0.00018,0.0451,0.802,200.763,audio_features,3qgx26V2POGIsGAFLyWJsx,spotify:track:3qgx26V2POGIsGAFLyWJsx,https://api.spotify.com/v1/tracks/3qgx26V2POGIsGAFLyWJsx,https://api.spotify.com/v1/audio-analysis/3qgx26V2POGIsGAFLyWJsx,134427,4,Serge Gainsbourg,Couleur café
49,0.461,0.92,6,-3.22,0,0.0538,0.013,0.701,0.21,0.677,176.226,audio_features,37sKuJzIab3XhTuPXBsTYg,spotify:track:37sKuJzIab3XhTuPXBsTYg,https://api.spotify.com/v1/tracks/37sKuJzIab3XhTuPXBsTYg,https://api.spotify.com/v1/audio-analysis/37sKuJzIab3XhTuPXBsTYg,130926,4,La Fine Equipe,Love Cake
50,0.652,0.612,0,-7.897,0,0.177,0.434,0.000184,0.245,0.513,140.056,audio_features,655HjEK4nNzceomQVpNzgN,spotify:track:655HjEK4nNzceomQVpNzgN,https://api.spotify.com/v1/tracks/655HjEK4nNzceomQVpNzgN,https://api.spotify.com/v1/audio-analysis/655HjEK4nNzceomQVpNzgN,218067,4,Chet Faker,Talk Is Cheap
51,0.19,0.323,7,-12.405,1,0.0303,0.626,2.17e-06,0.176,0.281,94.34,audio_features,6yMGxqKj0218mFR5KqsMRq,spotify:track:6yMGxqKj0218mFR5KqsMRq,https://api.spotify.com/v1/tracks/6yMGxqKj0218mFR5KqsMRq,https://api.spotify.com/v1/audio-analysis/6yMGxqKj0218mFR5KqsMRq,219560,4,Ray Charles,Georgia on My Mind
52,0.73,0.755,8,-7.746,1,0.0397,0.546,0.0356,0.433,0.867,95.947,audio_features,6jObkbcqRAOCYhxqJvXCCC,spotify:track:6jObkbcqRAOCYhxqJvXCCC,https://api.spotify.com/v1/tracks/6jObkbcqRAOCYhxqJvXCCC,https://api.spotify.com/v1/audio-analysis/6jObkbcqRAOCYhxqJvXCCC,213080,4,Chinese Man,Ta bom
53,0.798,0.402,6,-12.138,0,0.0731,0.745,0.394,0.147,0.218,113.965,audio_features,0c0LylmsBy925Y30IAl8RD,spotify:track:0c0LylmsBy925Y30IAl8RD,https://api.spotify.com/v1/tracks/0c0LylmsBy925Y30IAl8RD,https://api.spotify.com/v1/audio-analysis/0c0LylmsBy925Y30IAl8RD,306078,4,José González,This Is How We Walk On The Moon
54,0.694,0.265,2,-11.319,1,0.0569,0.894,1.79e-05,0.246,0.422,77.389,audio_features,3VFr9JYb6ppsl4yxwerUXq,spotify:track:3VFr9JYb6ppsl4yxwerUXq,https://api.spotify.com/v1/tracks/3VFr9JYb6ppsl4yxwerUXq,https://api.spotify.com/v1/audio-analysis/3VFr9JYb6ppsl4yxwerUXq,199427,4,Gregory Porter,Hey Laura
55,0.172,0.0696,11,-21.295,0,0.0339,0.916,0.00199,0.137,0.103,167.974,audio_features,2gNjmvuQiEd2z9SqyYi8HH,spotify:track:2gNjmvuQiEd2z9SqyYi8HH,https://api.spotify.com/v1/tracks/2gNjmvuQiEd2z9SqyYi8HH,https://api.spotify.com/v1/audio-analysis/2gNjmvuQiEd2z9SqyYi8HH,298133,5,Louis Armstrong,Summertime
56,0.802,0.307,5,-13.718,1,0.231,0.0131,0.000696,0.0591,0.884,85.278,audio_features,5J1JVlFB9heJH0oNNQcnoV,spotify:track:5J1JVlFB9heJH0oNNQcnoV,https://api.spotify.com/v1/tracks/5J1JVlFB9heJH0oNNQcnoV,https://api.spotify.com/v1/audio-analysis/5J1JVlFB9heJH0oNNQcnoV,182160,4,Serge Gainsbourg,Vieille canaille
57,0.745,0.618,8,-6.83,1,0.103,0.11,0.0,0.0434,0.699,87.887,audio_features,4Ren6FzmsNk6DvYUk2IegI,spotify:track:4Ren6FzmsNk6DvYUk2IegI,https://api.spotify.com/v1/tracks/4Ren6FzmsNk6DvYUk2IegI,https://api.spotify.com/v1/audio-analysis/4Ren6FzmsNk6DvYUk2IegI,234827,4,Deichkind,Komm schon!
58,0.528,0.753,2,-5.892,0,0.0323,0.412,0.355,0.17,0.608,147.74,audio_features,2MoWVpjjmT1kMUakiQ4Oeq,spotify:track:2MoWVpjjmT1kMUakiQ4Oeq,https://api.spotify.com/v1/tracks/2MoWVpjjmT1kMUakiQ4Oeq,https://api.spotify.com/v1/audio-analysis/2MoWVpjjmT1kMUakiQ4Oeq,190827,4,José González,Down The Line
59,0.694,0.496,9,-14.222,1,0.0329,0.0139,0.00356,0.0644,0.799,103.372,audio_features,0DMRKqrpd0QO4RWiEdMib0,spotify:track:0DMRKqrpd0QO4RWiEdMib0,https://api.spotify.com/v1/tracks/0DMRKqrpd0QO4RWiEdMib0,https://api.spotify.com/v1/audio-analysis/0DMRKqrpd0QO4RWiEdMib0,257187,4,Amy Winehouse,You Know I'm No Good
60,0.842,0.668,1,-6.043,1,0.26,0.015,0.0,0.0699,0.345,92.703,audio_features,6vQTNCP1Ifp8xiyQULwZ69,spotify:track:6vQTNCP1Ifp8xiyQULwZ69,https://api.spotify.com/v1/tracks/6vQTNCP1Ifp8xiyQULwZ69,https://api.spotify.com/v1/audio-analysis/6vQTNCP1Ifp8xiyQULwZ69,333293,4,Kanye West,Gone
61,0.673,0.481,9,-9.88,1,0.0488,0.0764,4e-05,0.127,0.767,117.087,audio_features,4uIHPormmUH31qyjP7CU4d,spotify:track:4uIHPormmUH31qyjP7CU4d,https://api.spotify.com/v1/tracks/4uIHPormmUH31qyjP7CU4d,https://api.spotify.com/v1/audio-analysis/4uIHPormmUH31qyjP7CU4d,178973,4,Taj Mahal,Statesboro Blues
62,0.711,0.213,4,-15.066,0,0.0517,0.945,0.00212,0.111,0.114,110.084,audio_features,6cbNGlEgXL9BmiFo0Gg2b1,spotify:track:6cbNGlEgXL9BmiFo0Gg2b1,https://api.spotify.com/v1/tracks/6cbNGlEgXL9BmiFo0Gg2b1,https://api.spotify.com/v1/audio-analysis/6cbNGlEgXL9BmiFo0Gg2b1,232195,4,Blue Hawaii,Try To Be
63,0.579,0.558,8,-12.083,0,0.276,0.665,0.0,0.8,0.949,172.806,audio_features,0GAYImKz59gJCEDvlX25V4,spotify:track:0GAYImKz59gJCEDvlX25V4,https://api.spotify.com/v1/tracks/0GAYImKz59gJCEDvlX25V4,https://api.spotify.com/v1/audio-analysis/0GAYImKz59gJCEDvlX25V4,119133,4,,
64,0.775,0.281,10,-10.216,0,0.096,0.549,0.242,0.0941,0.0398,139.949,audio_features,33BnSMHgX0AsbKSIbkuMwh,spotify:track:33BnSMHgX0AsbKSIbkuMwh,https://api.spotify.com/v1/tracks/33BnSMHgX0AsbKSIbkuMwh,https://api.spotify.com/v1/audio-analysis/33BnSMHgX0AsbKSIbkuMwh,276720,4,James Blake,Limit To Your Love
65,0.4,0.707,11,-7.424,0,0.0492,0.528,0.767,0.137,0.27,139.705,audio_features,0x68Mzvbso6Wj8OxYLUlAT,spotify:track:0x68Mzvbso6Wj8OxYLUlAT,https://api.spotify.com/v1/tracks/0x68Mzvbso6Wj8OxYLUlAT,https://api.spotify.com/v1/audio-analysis/0x68Mzvbso6Wj8OxYLUlAT,326361,4,Cloud Boat,The Glow
66,0.667,0.368,11,-9.939,0,0.0296,0.888,0.0225,0.103,0.301,134.624,audio_features,277bAXhqfHukF9Yvhk6MYr,spotify:track:277bAXhqfHukF9Yvhk6MYr,https://api.spotify.com/v1/tracks/277bAXhqfHukF9Yvhk6MYr,https://api.spotify.com/v1/audio-analysis/277bAXhqfHukF9Yvhk6MYr,162920,4,José González,Crosses
67,0.9,0.131,5,-11.378,1,0.0409,0.172,0.00363,0.0877,0.336,137.302,audio_features,0ypJzr80RWfAnqmNyh1Q6N,spotify:track:0ypJzr80RWfAnqmNyh1Q6N,https://api.spotify.com/v1/tracks/0ypJzr80RWfAnqmNyh1Q6N,https://api.spotify.com/v1/audio-analysis/0ypJzr80RWfAnqmNyh1Q6N,285321,3,Silk Rhodes,Heart of Grass
